business,name,city,state,country,energyType,date,size,longitude,latitude,aws_percent,aws_size_MW
AWS,Amazon Wind Farm Sweden - Lyckas,Sweden,Sweden,Sweden,Wind farm,2025,40.5,14.319,57.843,100%,40.5
AWS,Amazon Wind Farm India - Osmanabad,India,India,India,Wind farm,2025,198,76.247,18.384,100%,198
AWS,Amazon Solar Farm Ohio - Clearview Solar,Champain County,Ohio,US,Solar farm,2025,99,83.995,40.261,100%,99
AWS,Amazon Solar Farm Texas - Outpost,Webb,Texas,US,Solar farm,2025,500,99.177,27.851,100%,500
AWS & Devices,Amazon Wind Farm China - Bobai,China,China,China,Wind farm,2025,150,110.108,22.084,100%,150
AWS,Taean Nammyeon I,South Korea,South Korea,South Korea,Solar farm,2025,60,126.311,36.694,100%,60
AWS,Amazon Solar Farm Maryland - CPV Backbone,Garrett County,Maryland,US,Solar farm,2026,130.5,-79.202,39.443,100%,130.5
AWS,Amazon Wind Farm Finland - Pahkakoski,Finland,Finland,Finland,Wind farm,2026,150.48,26.026,65.322998,100%,150.48
AWS,Amazon Wind Farm Europe,Europe,Europe,Europe,Wind farm,2027,129.9,4.556,55.687,100%,129.9
AWS,Amazon Wind Farm Germany,Germany,Germany,Germany,Wind farm,2027,130,14.029,54.89,100%,130
